word,rounds_last_met1,words_last_met1,time_last_met1,res_last_met1,rounds_last_met2,words_last_met2,time_last_met2,res_last_met2,rounds_last_met3,words_last_met3,time_last_met3,res_last_met3,rounds_last_met4,words_last_met4,time_last_met4,res_last_met4,rounds_last_met5,words_last_met5,time_last_met5,res_last_met5,res
und,100,100,26.0,False,100,100,26.0,False,100,100,26.0,False,100,100,26.0,False,100,100,26.0,False,True
zu,101,100,35.0,False,101,100,35.0,False,101,100,35.0,False,101,100,35.0,False,101,100,35.0,False,False
was,102,100,59.0,False,102,100,59.0,False,102,100,59.0,False,102,100,59.0,False,102,100,59.0,False,True
und,3,0,51.0,True,103,100,76.0,False,103,100,76.0,False,103,100,76.0,False,103,100,76.0,False,True
was,2,0,30.0,True,104,100,89.0,False,104,100,89.0,False,104,100,89.0,False,104,100,89.0,False,True
ist,105,100,91.0,False,105,100,91.0,False,105,100,91.0,False,105,100,91.0,False,105,100,91.0,False,True
mir,106,100,95.0,False,106,100,95.0,False,106,100,95.0,False,106,100,95.0,False,106,100,95.0,False,False
du,107,100,100.0,False,107,100,100.0,False,107,100,100.0,False,107,100,100.0,False,107,100,100.0,False,True
die,108,100,101.0,False,108,100,101.0,False,108,100,101.0,False,108,100,101.0,False,108,100,101.0,False,True
sie,109,100,104.0,False,109,100,104.0,False,109,100,104.0,False,109,100,104.0,False,109,100,104.0,False,True
der,110,100,106.0,False,110,100,106.0,False,110,100,106.0,False,110,100,106.0,False,110,100,106.0,False,True
sie,2,7,4.0,True,111,100,108.0,False,111,100,108.0,False,111,100,108.0,False,111,100,108.0,False,True
den,112,100,111.0,False,112,100,111.0,False,112,100,111.0,False,112,100,111.0,False,112,100,111.0,False,True
und,10,1,38.0,True,13,0,89.0,True,113,100,115.0,False,113,100,115.0,False,113,100,115.0,False,True
nicht,114,100,119.0,False,114,100,119.0,False,114,100,119.0,False,114,100,119.0,False,114,100,119.0,False,True
der,5,7,14.0,True,115,100,120.0,False,115,100,120.0,False,115,100,120.0,False,115,100,120.0,False,True
das,116,100,124.0,False,116,100,124.0,False,116,100,124.0,False,116,100,124.0,False,116,100,124.0,False,True
zu,16,0,93.0,False,117,100,129.0,False,117,100,129.0,False,117,100,129.0,False,117,100,129.0,False,False
es,118,100,137.0,False,118,100,137.0,False,118,100,137.0,False,118,100,137.0,False,118,100,137.0,False,True
ist,14,3,53.0,True,119,100,145.0,False,119,100,145.0,False,119,100,145.0,False,119,100,145.0,False,True
nicht,6,10,28.0,True,120,100,147.0,False,120,100,147.0,False,120,100,147.0,False,120,100,147.0,False,True
und,8,9,117.0,True,18,1,156.0,True,21,0,207.0,True,121,100,232.0,False,121,100,232.0,False,True
das,6,11,111.0,True,122,100,234.0,False,122,100,234.0,False,122,100,234.0,False,122,100,234.0,False,True
das,1,13,4.0,True,7,10,114.0,True,123,100,238.0,False,123,100,238.0,False,123,100,238.0,False,True
mir,18,4,148.0,False,124,100,243.0,False,124,100,243.0,False,124,100,243.0,False,124,100,243.0,False,False
sie,14,7,177.0,True,16,6,181.0,True,125,100,285.0,False,125,100,285.0,False,125,100,285.0,False,True
was,22,2,200.0,True,24,0,230.0,True,126,100,290.0,False,126,100,290.0,False,126,100,290.0,False,True
mir,3,13,52.0,False,21,3,199.0,False,127,100,295.0,False,127,100,295.0,False,127,100,295.0,False,False
mir,1,13,5.0,False,4,13,56.0,False,22,4,204.0,False,128,100,299.0,False,128,100,299.0,False,False
zu,12,10,183.0,False,28,0,276.0,False,129,100,311.0,False,129,100,311.0,False,129,100,311.0,False,True
mir,2,13,15.0,False,3,13,19.0,False,6,13,71.0,False,24,3,219.0,False,130,100,314.0,False,False
mir,1,13,2.0,False,3,13,17.0,False,4,13,22.0,False,7,12,74.0,False,25,3,221.0,False,False
mir,1,13,1.0,False,2,13,3.0,False,4,13,18.0,False,5,13,23.0,False,8,11,74.0,False,False
mir,1,13,2.0,False,2,13,3.0,False,3,13,5.0,False,5,13,20.0,False,6,13,25.0,False,True
er,134,100,326.0,False,134,100,326.0,False,134,100,326.0,False,134,100,326.0,False,134,100,326.0,False,False
er,1,13,3.0,False,135,100,329.0,False,135,100,329.0,False,135,100,329.0,False,135,100,329.0,False,True
ein,136,100,330.0,False,136,100,330.0,False,136,100,330.0,False,136,100,330.0,False,136,100,330.0,False,True
ich,137,100,335.0,False,137,100,335.0,False,137,100,335.0,False,137,100,335.0,False,137,100,335.0,False,True
mit,138,100,342.0,False,138,100,342.0,False,138,100,342.0,False,138,100,342.0,False,138,100,342.0,False,False
mit,1,16,4.0,False,139,100,347.0,False,139,100,347.0,False,139,100,347.0,False,139,100,347.0,False,True
ja,140,100,351.0,False,140,100,351.0,False,140,100,351.0,False,140,100,351.0,False,140,100,351.0,False,True
wir,141,100,353.0,False,141,100,353.0,False,141,100,353.0,False,141,100,353.0,False,141,100,353.0,False,True
wie,142,100,359.0,False,142,100,359.0,False,142,100,359.0,False,142,100,359.0,False,142,100,359.0,False,False
wie,1,19,8.0,False,143,100,367.0,False,143,100,367.0,False,143,100,367.0,False,143,100,367.0,False,True
mit,5,20,25.0,True,6,20,30.0,False,144,100,372.0,False,144,100,372.0,False,144,100,372.0,False,True
es,27,9,238.0,True,145,100,375.0,False,145,100,375.0,False,145,100,375.0,False,145,100,375.0,False,True
den,34,7,267.0,True,146,100,378.0,False,146,100,378.0,False,146,100,378.0,False,146,100,378.0,False,True
und,26,10,148.0,True,34,8,265.0,True,44,1,304.0,True,47,0,354.0,True,147,100,380.0,False,True
du,41,4,289.0,True,148,100,389.0,False,148,100,389.0,False,148,100,389.0,False,148,100,389.0,False,True
er,14,18,65.0,True,15,17,68.0,False,149,100,394.0,False,149,100,394.0,False,149,100,394.0,False,True
was,24,15,128.0,True,46,2,328.0,True,48,0,358.0,True,150,100,417.0,False,150,100,417.0,False,True
für,151,100,430.0,False,151,100,430.0,False,151,100,430.0,False,151,100,430.0,False,151,100,430.0,False,False
hat,152,100,436.0,False,152,100,436.0,False,152,100,436.0,False,152,100,436.0,False,152,100,436.0,False,True
haben,153,100,446.0,False,153,100,446.0,False,153,100,446.0,False,153,100,446.0,False,153,100,446.0,False,True
für,3,22,26.0,False,154,100,456.0,False,154,100,456.0,False,154,100,456.0,False,154,100,456.0,False,False
eine,155,100,459.0,False,155,100,459.0,False,155,100,459.0,False,155,100,459.0,False,155,100,459.0,False,True
von,156,100,464.0,False,156,100,464.0,False,156,100,464.0,False,156,100,464.0,False,156,100,464.0,False,False
mich,157,100,487.0,False,157,100,487.0,False,157,100,487.0,False,157,100,487.0,False,157,100,487.0,False,False
mich,1,25,4.0,False,158,100,491.0,False,158,100,491.0,False,158,100,491.0,False,158,100,491.0,False,True
von,3,26,29.0,False,159,100,493.0,False,159,100,493.0,False,159,100,493.0,False,159,100,493.0,False,False
aber,160,100,501.0,False,160,100,501.0,False,160,100,501.0,False,160,100,501.0,False,160,100,501.0,False,False
hier,161,100,506.0,False,161,100,506.0,False,161,100,506.0,False,161,100,506.0,False,161,100,506.0,False,False
auf,162,100,512.0,False,162,100,512.0,False,162,100,512.0,False,162,100,512.0,False,162,100,512.0,False,False
auf,1,28,5.0,False,163,100,517.0,False,163,100,517.0,False,163,100,517.0,False,163,100,517.0,False,True
