word,rounds_last_met1,words_last_met1,time_last_met1,res_last_met1,rounds_last_met2,words_last_met2,time_last_met2,res_last_met2,rounds_last_met3,words_last_met3,time_last_met3,res_last_met3,rounds_last_met4,words_last_met4,time_last_met4,res_last_met4,rounds_last_met5,words_last_met5,time_last_met5,res_last_met5,res
ist,100,100,11.0,False,100,100,11.0,False,100,100,11.0,False,100,100,11.0,False,100,100,11.0,False,True
ist,1,0,9.0,True,101,100,20.0,False,101,100,20.0,False,101,100,20.0,False,101,100,20.0,False,True
es,102,100,22.0,False,102,100,22.0,False,102,100,22.0,False,102,100,22.0,False,102,100,22.0,False,True
nicht,103,100,30.0,False,103,100,30.0,False,103,100,30.0,False,103,100,30.0,False,103,100,30.0,False,True
die,104,100,37.0,False,104,100,37.0,False,104,100,37.0,False,104,100,37.0,False,104,100,37.0,False,False
nicht,2,1,15.0,True,105,100,45.0,False,105,100,45.0,False,105,100,45.0,False,105,100,45.0,False,True
du,106,100,50.0,False,106,100,50.0,False,106,100,50.0,False,106,100,50.0,False,106,100,50.0,False,True
das,107,100,52.0,False,107,100,52.0,False,107,100,52.0,False,107,100,52.0,False,107,100,52.0,False,True
es,6,0,32.0,True,108,100,55.0,False,108,100,55.0,False,108,100,55.0,False,108,100,55.0,False,True
nicht,4,3,11.0,True,6,1,27.0,True,109,100,57.0,False,109,100,57.0,False,109,100,57.0,False,True
sie,110,100,59.0,False,110,100,59.0,False,110,100,59.0,False,110,100,59.0,False,110,100,59.0,False,True
nicht,2,5,4.0,True,6,3,16.0,True,8,1,31.0,True,111,100,61.0,False,111,100,61.0,False,True
nicht,1,6,2.0,True,3,6,6.0,True,7,3,18.0,True,9,1,33.0,True,112,100,63.0,False,True
es,5,5,11.0,True,11,0,43.0,True,113,100,65.0,False,113,100,65.0,False,113,100,65.0,False,True
nicht,2,6,4.0,True,3,6,6.0,True,5,5,10.0,True,9,2,22.0,True,11,1,37.0,True,True
es,2,6,6.0,True,7,3,17.0,True,13,0,49.0,True,115,100,71.0,False,115,100,71.0,False,True
ich,116,100,73.0,False,116,100,73.0,False,116,100,73.0,False,116,100,73.0,False,116,100,73.0,False,True
ist,16,0,57.0,True,17,0,66.0,True,117,100,77.0,False,117,100,77.0,False,117,100,77.0,False,True
nicht,4,6,13.0,True,6,5,17.0,True,7,4,19.0,True,9,4,23.0,True,13,3,35.0,True,True
du,13,4,33.0,True,119,100,83.0,False,119,100,83.0,False,119,100,83.0,False,119,100,83.0,False,True
nicht,2,8,4.0,True,6,6,17.0,True,8,5,21.0,True,9,5,23.0,True,11,4,27.0,True,True
ist,4,7,11.0,True,20,0,67.0,True,21,0,76.0,True,121,100,87.0,False,121,100,87.0,False,True
sie,12,5,48.0,True,122,100,108.0,False,122,100,108.0,False,122,100,108.0,False,122,100,108.0,False,True
ist,2,8,31.0,True,6,7,42.0,True,22,0,98.0,True,23,0,108.0,True,123,100,118.0,False,True
ist,1,8,11.0,True,3,8,42.0,True,7,6,52.0,True,23,0,109.0,True,24,0,118.0,True,True
nicht,5,7,47.0,True,7,6,51.0,True,11,6,63.0,True,13,6,67.0,True,14,6,69.0,True,True
ist,2,8,6.0,True,3,8,16.0,True,5,7,47.0,True,9,6,58.0,True,25,0,114.0,True,True
du,8,6,54.0,True,21,3,86.0,True,127,100,136.0,False,127,100,136.0,False,127,100,136.0,False,True
nicht,3,8,9.0,True,8,6,56.0,True,10,6,60.0,True,14,6,72.0,True,16,4,76.0,True,True
sie,7,6,44.0,True,19,4,93.0,True,129,100,152.0,False,129,100,152.0,False,129,100,152.0,False,True
was,130,100,156.0,False,130,100,156.0,False,130,100,156.0,False,130,100,156.0,False,130,100,156.0,False,False
zu,131,100,164.0,False,131,100,164.0,False,131,100,164.0,False,131,100,164.0,False,131,100,164.0,False,False
ich,16,5,100.0,True,132,100,173.0,False,132,100,173.0,False,132,100,173.0,False,132,100,173.0,False,True
er,133,100,177.0,False,133,100,177.0,False,133,100,177.0,False,133,100,177.0,False,133,100,177.0,False,False
ein,134,100,183.0,False,134,100,183.0,False,134,100,183.0,False,134,100,183.0,False,134,100,183.0,False,True
und,135,100,186.0,False,135,100,186.0,False,135,100,186.0,False,135,100,186.0,False,135,100,186.0,False,True
ist,10,10,55.0,True,12,10,61.0,True,13,10,72.0,True,15,9,103.0,True,19,9,113.0,True,True
wir,137,100,195.0,False,137,100,195.0,False,137,100,195.0,False,137,100,195.0,False,137,100,195.0,False,True
er,5,12,21.0,False,138,100,198.0,False,138,100,198.0,False,138,100,198.0,False,138,100,198.0,False,True
ich,7,12,26.0,True,23,11,126.0,True,139,100,200.0,False,139,100,200.0,False,139,100,200.0,False,True
und,5,13,15.0,True,140,100,201.0,False,140,100,201.0,False,140,100,201.0,False,140,100,201.0,False,True
es,26,11,135.0,True,28,9,141.0,True,33,6,152.0,True,39,0,184.0,True,141,100,207.0,False,True
es,1,14,2.0,True,27,10,138.0,True,29,8,144.0,True,34,5,154.0,True,40,0,187.0,True,True
es,1,14,1.0,True,2,14,4.0,True,28,10,139.0,True,30,8,145.0,True,35,6,156.0,True,True
ich,5,13,13.0,True,12,12,39.0,True,28,10,139.0,True,144,100,212.0,False,144,100,212.0,False,True
nicht,17,12,74.0,True,20,12,83.0,True,25,12,130.0,True,27,11,134.0,True,31,7,146.0,True,True
er,8,12,36.0,True,13,12,56.0,False,146,100,234.0,False,146,100,234.0,False,146,100,234.0,False,True
ich,3,14,24.0,True,8,12,36.0,True,15,12,63.0,True,31,8,163.0,True,147,100,236.0,False,True
was,18,12,84.0,False,148,100,241.0,False,148,100,241.0,False,148,100,241.0,False,148,100,241.0,False,False
das,42,4,192.0,True,149,100,244.0,False,149,100,244.0,False,149,100,244.0,False,149,100,244.0,False,True
der,150,100,248.0,False,150,100,248.0,False,150,100,248.0,False,150,100,248.0,False,150,100,248.0,False,True
du,24,13,114.0,True,32,10,168.0,True,45,4,201.0,True,151,100,251.0,False,151,100,251.0,False,True
ich,5,14,17.0,True,8,14,40.0,True,13,14,53.0,True,20,14,79.0,True,36,9,179.0,True,True
ich,1,15,1.0,True,6,14,18.0,True,9,14,42.0,True,14,14,54.0,True,21,14,80.0,True,True
das,5,14,11.0,True,47,5,204.0,True,154,100,256.0,False,154,100,256.0,False,154,100,256.0,False,True
das,1,15,2.0,True,6,14,13.0,True,48,4,206.0,True,155,100,258.0,False,155,100,258.0,False,True
was,8,14,20.0,False,26,14,105.0,False,156,100,261.0,False,156,100,261.0,False,156,100,261.0,False,True
zu,26,14,100.0,False,157,100,264.0,False,157,100,264.0,False,157,100,264.0,False,157,100,264.0,False,True
